City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,273.95,84,95,2.38,GS,1700782072
1,port-aux-francais,-49.35,70.2167,280.34,96,100,19.35,TF,1700782054
2,batang,-6.4846,110.7083,300.48,78,100,1.54,ID,1700781682
3,kiruna,67.8557,20.2251,259.66,92,100,1.03,SE,1700782458
4,adamstown,-25.066,-130.1015,294.97,75,100,6.26,PN,1700782087
5,vilyuchinsk,52.9306,158.4028,274.3,98,100,3.38,RU,1700782458
6,isafjordur,66.0755,-23.124,269.16,66,91,3.4,IS,1700782135
7,stanley,54.868,-1.6985,279.14,79,0,5.66,GB,1700782460
8,shubarshi,48.5872,57.1869,267.09,94,93,4.0,KZ,1700782460
9,albany,42.6001,-73.9662,280.5,70,74,3.75,US,1700781932
10,ranchettes,41.2186,-104.7903,270.06,88,100,7.2,US,1700782461
11,bredasdorp,-34.5322,20.0403,289.79,76,99,0.71,ZA,1700782150
12,invercargill,-46.4,168.35,284.83,59,78,4.47,NZ,1700782274
13,cloverdale,38.8055,-123.0172,295.1,46,1,1.79,US,1700782339
14,hermanus,-34.4187,19.2345,289.47,84,99,1.16,ZA,1700782463
15,portland,45.5234,-122.6762,285.34,72,20,4.12,US,1700781835
16,papao,-17.75,-149.55,301.97,86,52,9.58,PF,1700782464
17,edinburgh of the seven seas,-37.0676,-12.3116,286.8,80,87,9.57,SH,1700782062
18,macau,22.2006,113.5461,296.0,78,20,5.66,MO,1700782210
19,tanjungtiram,4.0613,98.3699,297.16,95,100,1.71,ID,1700782465
20,shubarkuduk,49.1447,56.4872,267.19,83,90,4.18,KZ,1700782466
21,ushuaia,-54.8,-68.3,282.96,66,40,13.38,AR,1700782128
22,muli,2.9167,73.5667,300.97,74,70,4.52,MV,1700782467
23,nikolayevsk-on-amure,53.1406,140.73,257.83,82,100,6.42,RU,1700782467
24,bloemfontein,-29.1211,26.214,297.86,41,91,8.75,ZA,1700782468
25,villa de costa rica,24.5875,-107.3875,302.16,56,4,2.82,MX,1700782468
26,kongsvinger,60.1905,11.9977,273.52,55,79,2.85,NO,1700782469
27,bay roberts,47.5999,-53.2648,275.0,87,87,2.68,CA,1700782469
28,tweed heads,-28.1817,153.547,298.81,60,40,5.66,AU,1700782410
29,mount gambier,-37.8333,140.7667,288.7,98,100,2.87,AU,1700782251
30,standerton,-26.9337,29.2415,292.92,50,36,1.71,ZA,1700782471
31,waitangi,-43.9535,-176.5597,290.27,90,100,2.68,NZ,1700782095
32,kani keli,-12.9536,45.1033,298.74,71,82,2.74,YT,1700782472
33,puerto natales,-51.7236,-72.4875,283.14,67,94,5.51,CL,1700782104
34,port mathurin,-19.6833,63.4167,297.46,74,92,10.73,MU,1700782249
35,sur,22.5667,59.5289,297.73,60,0,1.98,OM,1700782473
36,usogorsk,63.4106,48.6872,261.3,94,100,1.93,RU,1700782348
37,hamilton,39.1834,-84.5333,283.13,66,0,2.57,US,1700782080
38,nan,18.8333,100.6667,290.16,94,20,0.0,TH,1700782474
39,petrovskaya,45.4314,37.955,281.35,78,100,7.69,RU,1700782475
40,whitehorse,60.7161,-135.0538,276.58,81,75,8.23,CA,1700782475
41,saipan,15.1355,145.701,300.54,89,100,8.23,MP,1700782233
42,geraldton,-28.7667,114.6,295.38,68,100,1.54,AU,1700782070
43,puerto san jose,13.9256,-90.8244,300.08,81,23,3.32,GT,1700782477
44,hadibu,12.65,54.0333,298.72,72,85,3.8,YE,1700782152
45,kayangel,8.0823,134.7173,301.89,77,46,7.78,PW,1700782478
46,okha,53.5739,142.9478,264.46,84,100,9.06,RU,1700782478
47,petropavlovsk-kamchatsky,53.0452,158.6483,273.48,73,100,10.28,RU,1700781854
48,georgetown,5.4112,100.3354,300.11,89,20,1.03,MY,1700782087
49,thompson,55.7435,-97.8558,264.24,45,20,8.75,CA,1700782480
50,kenai,60.5544,-151.2583,277.2,96,100,4.12,US,1700782349
51,aasiaat,68.7098,-52.8699,266.52,82,84,1.35,GL,1700782146
52,fauske,67.2588,15.3918,276.18,94,100,2.87,NO,1700782481
53,prince george,53.9166,-122.753,273.84,74,40,4.63,CA,1700782434
54,puerto ayora,-0.7393,-90.3518,297.9,94,50,4.02,EC,1700782165
55,port shepstone,-30.7414,30.455,295.45,94,96,1.04,ZA,1700782482
56,kapa'a,22.0752,-159.319,300.33,82,75,5.14,US,1700781939
57,bowen,-20.0167,148.2333,299.76,69,96,5.65,AU,1700782483
58,awjilah,29.1081,21.2869,290.36,32,0,4.35,LY,1700782484
59,mutare,-18.9707,32.6709,290.64,81,0,2.35,ZW,1700782484
60,chonchi,-42.6128,-73.8092,287.1,67,2,2.01,CL,1700782180
61,blackmans bay,-43.0167,147.3167,294.55,61,3,0.89,AU,1700782070
62,island harbour,50.724,-1.2758,285.89,90,78,2.68,GB,1700782485
63,qaqortoq,60.7167,-46.0333,268.98,93,100,2.64,GL,1700782189
64,bilibino,68.0546,166.4372,257.33,96,100,0.18,RU,1700782083
65,broome,42.2506,-75.833,279.76,78,100,4.63,US,1700782487
66,isla vista,34.4133,-119.861,295.94,55,0,2.57,US,1700782488
67,lensk,60.7253,114.9278,253.51,94,100,4.03,RU,1700782258
68,crane,31.3974,-102.3501,288.36,30,18,4.43,US,1700782489
69,queenstown,-31.8976,26.8753,290.69,85,64,0.27,ZA,1700782213
70,constantia,44.1833,28.65,279.65,85,83,8.16,RO,1700782490
71,gadzhiyevo,69.2551,33.3362,261.93,86,38,6.7,RU,1700782231
72,nema,57.5067,50.5011,257.92,98,98,2.67,RU,1700782385
73,flying fish cove,-10.4217,105.6791,298.97,83,75,4.12,CX,1700782227
